NAME,Uniprot,stringId,DNA_Repair,GO_CC,GO_BP,GO_MF,Annotation,An.color,S6.FuzzyCMeans,Ku.FuzzyCMeans,Mre.FuzzyCMeans,S6.FC.nonIR5,S6.FC.IR5,S6.FC.IR30,S6.FC.IR2,S6S.FC.IR8,S6.FC.IR24,S6.FC.nonIR24,Ku.FC.nonIR5,Ku.FC.IR5,Ku.FC.IR30,Ku.FC.IR2,Ku.FC.IR8,Ku.FC.IR24,Ku.FC.nonIR24,Mre.FC.nonIR5,Mre.FC.IR5,Mre.FC.IR30,Mre.FC.IR2,Mre.FC.IR8,Mre.FC.IR24,Mre.FC.nonIR24
GATAD2A,Q86YP4,9606.ENSP00000353463,HR,NuRD complex ,histone deacetylation ,histone deacetylase binding ,Chromatin Organization,darkviolet,3,0,0,2.197333333,2.302333333,1.809666667,4.298333333,4.717666667,1.892666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GATAD2B,Q8WXI9,9606.ENSP00000357644,0,NuRD complex ,ATP-dependent chromatin remodeling ,nucleosomal DNA binding ,Chromatin Organization,darkviolet,3,0,0,1.592666667,0,2.071,4.461666667,4.328,2.085666667,0,0,2.042,4.076333333,3.182333333,4.6,2.713,1.740333333,0,0,0,0,0,0,0
GCN1L1,Q92616,9606.ENSP00000300648,0,ribosome,ribosome biogenesis ,protein kinase binding ,Chromatin Organization,darkviolet,0,0,0,0,1.747,1.996333333,1.886666667,1.964666667,1.972666667,1.881,0,3.025666667,2.736333333,1.248333333,2.432666667,0,2.842666667,0,0,0,0,0,0,0
GDAP1,Q8TB36,9606.ENSP00000220822,0,nucleus,glutathione metabolic process,protein binding,Cell Cycle regulation,coral1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.54933333,0,0,0
GGCT,O75223,9606.ENSP00000275428,0,cytosol,release of cytochrome c from mitochondria,gamma-glutamylcyclotransferase activity,Cell Cycle regulation,coral1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.95366667,26.25233333,0,0
GLS,O94925,9606.ENSP00000317379,0,cytosol ,glutamate homeostasis ,glutaminase activity ,DNA Repair,firebrick1,0,0,0,0.743416667,1.335166667,0,0,4.249166667,4.106833333,1.2175,0,0,1.6565,0,1.670166667,1.482833333,0,0,0,0,0,0,0,0
GLUD1,P00367,9606.ENSP00000277865,HR,nucleus ,glutamate homeostasis ,glutamate dehydrogenase ,DNA Repair,firebrick1,0,0,0,0,2.429666667,0,2.662666667,5.123,2.330666667,2.465666667,1.878666667,0,3.097,2.305,7.108333333,3.378,5.523,0,0,0,0,0,0,0
GLYR1,Q49A26,9606.ENSP00000322716,0,nucleosome ,positive regulation of histone acetylation ,methylated histone binding ,Chromatin Organization,darkviolet,1,0,3,0,0,1.821666667,3.470666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.68466667,0,0
GNA13,Q14344,9606.ENSP00000400717,0,nucleus,Rho protein signal transduction,G-protein coupled receptor binding,Cell Cycle regulation,coral1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.28766667,0,0,0
GNAI1,P63096,9606.ENSP00000497260,0,nucleolus,protein folding,GTPase activity,UPR,maroon,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.998,0,0,0
GNAI2,P04899,9606.ENSP00000312999,0, membrane raft [GO:0045121],cell cycle ,GTPase activity ,Cell Cycle regulation,coral1,0,3,0,0,0,0,0,0,0,0,1.174666667,0,2.664,1.467333333,5.343666667,0,0,0,0,0,0,0,0,0
GNAI3,P08754,9606.ENSP00000358867,0, heterotrimeric G-protein complex [GO:0005834],cell cycle ,GTPase activity ,Cell Cycle regulation,coral1,0,2,5,0,0,0,0,0,0,0,1.926,0,3.375333333,4.547333333,6.504666667,0,0,0,0,20.112,0,0,0,0
GNL2,Q13823,9606.ENSP00000362153,DSB,nucleolus ,ribosome biogenesis ,RNA binding ,Ribosome Biosynthesis,lightgreen,2,0,6,2.394666667,1.246666667,2.128666667,0.899666667,2.325333333,0,0,1.278666667,0,2.489666667,3.140333333,2.615,0,0,0,0,26.98766667,0,32.017,0,0
GNL3,Q9BVP2,9606.ENSP00000395772,DSB,chromosome ,telomere maintenance via telomerase ,mRNA binding ,Transcription Regulation,slateblue1,3,0,2,2.587666667,4.983666667,4.805333333,8.367,9.318,5.579666667,6.141,5.241333333,3.021333333,6.353,7.655,6.840333333,3.357333333,2.699666667,62,0,0,0,0,69.54783333,0
GNL3L,Q9NVN8,9606.ENSP00000338573,DSB,telomerase holoenzyme complex ,negative regulation of telomere maintenance via telomerase ,RNA binding ,Chromatin Organization,darkviolet,4,0,0,0,0,0,0,1.782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOLGA2,Q08379,9606.ENSP00000416097,0, COPII-coated ER to Golgi transport vesicle [GO:0030134],cell division ,protein kinase binding ,Cell Cycle regulation,coral1,0,3,5,0,0,0,0,0,0,0,0.711666667,0,0,0,2.356,0,0,0,0,25.006,0,0,0,0
GPD2,P43304,9606.ENSP00000308610,0,glycerol-3-phosphate dehydrogenase complex,glycerol catabolic process,glycerol-3-phosphate dehydrogenase activity,Transcription Regulation,slateblue1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,48.234,39.02233333,0,19.47833333,0,0
GPI,P06744,9606.ENSP00000405573,0, ficolin-1-rich granule lumen [GO:1904813],glycolytic process ,ubiquitin ligase binding,p53 Pathway,tomato,0,4,0,0,0,0,0,0,0,0,0.975666667,0,0,3.129333333,0,0,0,0,0,0,0,0,0,0
GPRC5A,Q8NFJ5,9606.ENSP00000014914,0,nucleolus,G-protein coupled receptor signaling pathway,protein kinase activator activity,Cell Cycle regulation,coral1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.976,0,0,0
GRSF1,Q12849,9606.ENSP00000254799,0,nucleoplasm,positive regulation of mitochondrial RNA catabolic process,RNA binding,RNA Metabolism,gold,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.27466667,0,0,0,0
GRWD1,Q9BQ67,9606.ENSP00000253237,0,chromosome [GO:0005694],chromatin remodeling ,chromatin binding ,RNA Metabolism,gold,0,0,0,0,0,0,0,0,0,0,0.307333333,0,1.968333333,0.833,0,0,0,0,0,0,0,0,0,0
GSK3B,P49841,9606.ENSP00000324806,0,Wnt signalosome,signal transduction,kinase activity,Cell Cycle regulation,coral1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.692,0,0,0
GSTP1,P09211,9606.ENSP00000381607,0,nucleus,negative regulation of apoptotic process,glutathione transferase activity,Cell Cycle regulation,coral1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,19.64433333,0,0,0
GTF2I,P78347,9606.ENSP00000460070,0,nucleoplasm ,"transcription, DNA-templated ",DNA binding ,Transcription Regulation,slateblue1,1,0,0,2.127,0,2.290333333,4.788,1.993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GTPBP10,A4D1E9,9606.ENSP00000222511,0,nucleolus,ribosome biogenesis,RNA binding,Ribosome Biosynthesis,lightgreen,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.99866667,0,0,0
GTPBP4,Q9BZE4,9606.ENSP00000354040,DSB,nuclear membrane ,"maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) ",RNA binding ,Chromatin Organization,darkviolet,4,2,2,1.346666667,1.127333333,0.946,0.534666667,2.224,1.077666667,0.917333333,1.060666667,0,0,5.349,5.526333333,0,0,0,0,44.141,0,56.852,51.18,0
H1-4,P10412,9606.ENSP00000307705,0,nucleosome,nucleosome assembly,structural constituent of chromatin,Chromatin Organization,darkviolet,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.32166667,0,0,0,0,0
H1-5,P16401,9606.ENSP00000330074,DSB,nucleosome ,chromatin organization ,structural constituent of chromatin ,Chromatin Organization,darkviolet,0,0,2,2.385833333,2.821666667,2.542,0,-2.829666667,0.565666667,3.412666667,0,0,0,0,0,0,0,0,0,0,0,0,40.38633333,0
H2AFV,Q71UI9,9606.ENSP00000308405,0, nucleosome [GO:0000786],chromatin organization ,structural constituent of chromatin ,Chromatin Organization,darkviolet,0,0,0,0,0,0,0,0,0,0,1.575666667,0,2.731333333,4.275,2.819333333,2.13,0,0,0,0,0,0,0,0
H2AX,P16104,9606.ENSP00000434024,DSB,site of double-strand break ,double-strand break repair ,damaged DNA binding ,DNA Repair,firebrick1,2,0,1,2.337,2.168666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.006,0,0,0
H2BC10,P62807,9606.ENSP00000321744,DSB,nucleosome ,chromatin organization ,structural constituent of chromatin ,Chromatin Organization,darkviolet,2,0,1,4.783916667,1.279833333,2.528833333,0,1.9615,1.8225,2.463833333,0.9685,1.8845,2.213166667,1.709833333,3.511166667,1.920166667,2.076166667,0,0,0,25.98,0,0,0
H2BC11,P06899,9606.ENSP00000476136,NHEJ,nucleosome,nucleosome assembly,structural constituent of chromatin,Chromatin Organization,darkviolet,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.70133333,0,0,37.82733333,0
H2BC15,Q99877,9606.ENSP00000483903,DSB,nucleosome,nucleosome assembly,structural constituent of chromatin,Chromatin Organization,darkviolet,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.11033333,0,0,0
H3-3B,P68431,9606.ENSP00000352252,0,nucleosome,nucleosome assembly,structural constituent of chromatin,Chromatin Organization,darkviolet,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.39866667,0,0,0
H3-7,Q5TEC6,9606.ENSP00000499501,0,nucleosome,chromatin remodeling,structural constituent of chromatin,Chromatin Organization,darkviolet,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.533,0,0,0,0
HADH,Q16836,9606.ENSP00000474560,0,nucleoplasm,fatty acid beta-oxidation,3-hydroxyacyl-CoA dehydrogenase activit,Cell Cycle regulation,coral1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.653,0,0,51.06733333,56.339,0
HADHB,P55084,9606.ENSP00000325136,0,mitochondrial nucleoid,gene expression,"acetyl-CoA C-acetyltransferase activity,GO:0003988~acetyl-CoA C-acyltransferase activity,",Transcription Regulation,slateblue1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.45933333,0,61.63266667,32.213,0
HCFC1,P51610,9606.ENSP00000309555,DSB,MLL1 complex ,histone H3-K4 methylation ,transcription coactivator activity ,Chromatin Organization,darkviolet,0,4,0,2.498333333,1.690666667,4.330333333,6.191,5.045333333,6.15,2.552333333,0,0,0,2.509,0,0,0,0,0,0,0,0,0,0
HDAC1,Q13547,9606.ENSP00000362649,0,NuRD complex ,histone deacetylation ,histone deacetylase binding ,Chromatin Organization,darkviolet,5,0,1,0,0,0,0.888,0,0,1.788,0,0,0,0,0,0,0,0,0,0,27.72866667,0,0,0
HEATR1,Q9H583,9606.ENSP00000355541,DSB,nucleolus ,rRNA processing ,RNA binding ,Ribosome Biosynthesis,lightgreen,3,3,0,0,0,0,5.003666667,2.718666667,0,0,1.292666667,0,0,0,2.246,0,0,0,0,0,0,0,0,0
HIGD1A,Q9Y241,9606.ENSP00000398064,0,respirasome ,negative regulation of apoptotic process , respirasome ,Cell Cycle regulation,coral1,4,0,0,0,0,0,0,2.254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIST1H1C,P16403,9606.ENSP00000339566,DSB,nucleosome ,chromatin organization ,structural constituent of chromatin ,Chromatin Organization,darkviolet,0,0,0,0,0,2.550666667,1.943666667,0,0,2.481,2.558333333,3.755,3.915666667,0.659666667,0,1.751666667,0,0,0,0,0,0,0,0
HIST1H2AC,Q93077,9606.ENSP00000367022,0,nucleosome ,chromatin organization ,structural constituent of chromatin ,Chromatin Organization,darkviolet,2,3,0,2.962583333,0.6585,1.518833333,0,1.2735,0.945166667,1.573833333,4.038833333,3.781166667,5.014166667,4.457166667,6.185166667,4.049833333,3.754166667,0,0,0,0,0,0,0
HIST1H2AJ,Q99878,9606.ENSP00000328484,0,nucleosome ,chromatin organization ,structural constituent of chromatin ,Chromatin Organization,darkviolet,2,0,0,2.93525,3.4905,3.273833333,0,3.495833333,3.426166667,2.306833333,0.540166667,3.0965,1.908833333,2.369166667,1.3745,0,0.959166667,0,0,0,0,0,0,0
HIST1H2BH,Q93079,9606.ENSP00000479169,DSB,nucleosome ,chromatin organization ,structural constituent of chromatin ,Chromatin Organization,darkviolet,0,0,0,0.171583333,1.9725,1.749166667,0,1.632833333,1.710166667,1.016166667,0,1.531833333,0,0.818833333,1.139833333,0.428166667,0.5775,0,0,0,0,0,0,0
HIST1H2BK,O60814,9606.ENSP00000349430,DSB,nucleosome ,chromatin organization ,structural constituent of chromatin ,Chromatin Organization,darkviolet,2,0,0,3.982666667,4.027333333,2.902333333,0.301666667,3.657333333,3.635666667,3.470333333,0.587333333,3.435333333,0,2.946333333,2.909,0,2.301,0,0,0,0,0,0,0
HIST1H2BO,P23527,9606.ENSP00000477527,DSB,nucleosome ,chromatin organization ,structural constituent of chromatin ,Chromatin Organization,darkviolet,2,0,0,2.853,3.044,2.759666667,0,2.658,2.822333333,2.4,0,2.846666667,0,1.889,2.177333333,0,0,0,0,0,0,0,0,0
HIST1H4F,P62805,9606.ENSP00000244537,DSB,CENP-A containing nucleosome [GO:0043505],chromatin organization ,structural constituent of chromatin ,Chromatin Organization,darkviolet,2,0,0,3.099,2.176833333,3.261833333,0.2715,2.781166667,2.190833333,2.234833333,0.1915,1.539166667,0.9165,1.9875,2.757833333,1.2475,0.976166667,0,0,0,0,0,0,0
HIST2H2AC,Q16777,9606.ENSP00000332194,0,nucleosome ,chromatin organization ,structural constituent of chromatin ,Chromatin Organization,darkviolet,2,0,0,3.395583333,0.967333333,1.991,0,1.79,1.299,1.873666667,0.081,0.800333333,1.516,1.186,2.74,1.033,0.491333333,0,0,0,0,0,0,0
HIST2H2BE,Q16778,9606.ENSP00000358151,DSB,nucleosome ,chromatin organization ,structural constituent of chromatin ,Chromatin Organization,darkviolet,2,3,0,6.445666667,3.4565,5.668166667,2.615833333,4.985833333,1.820833333,2.2655,0.345166667,0.866833333,1.4735,0.6915,2.6635,0.606833333,1.0795,0,0,0,0,0,0,0
HIST2H3D,Q71DI3,9606.ENSP00000333277,0,nucleosome ,chromatin organization ,structural constituent of chromatin ,Chromatin Organization,darkviolet,2,0,0,1.416166667,0.934833333,0.862166667,0,1.5905,0.605166667,0.783166667,0,1.335,0,0.988,2.610333333,0,1.275666667,0,0,0,0,0,0,0
HIST3H2BB,Q8N257,9606.ENSP00000479284,DSB,nucleosome ,chromatin organization ,structural constituent of chromatin ,Chromatin Organization,darkviolet,2,0,0,2.342,2.416333333,2.014666667,0,2.131333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HLTF,Q14527,9606.ENSP00000308944,ForkStall,RNA polymerase II transcription factor complex,protein ubiquitination,ubiquitin protein ligase activity,Chromatin Organization,darkviolet,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.11266667,0,0,0
HNRNPA0,Q13151,9606.ENSP00000316042,0,nucleoplasm ,3'-UTR-mediated mRNA stabilization ,mRNA binding ,Cell Cycle regulation,coral1,0,0,4,7.424833333,6.699666667,7.947,6.914333333,7.522666667,7.037333333,7.712,5.503666667,6.277333333,3.669666667,6.728666667,5.268,6.146666667,6.695333333,51,0,0,0,0,0,0
HNRNPA1,P09651,9606.ENSP00000341826,0,spliceosomal complex ,"mRNA splicing, via spliceosome ",single-stranded DNA binding ,Nuclear Pore,deepskyblue3,0,0,0,3.539416667,4.552166667,5.977833333,4.9145,5.4935,5.851833333,5.100166667,3.591166667,4.585833333,5.053166667,5.253166667,4.408166667,4.988833333,5.003833333,0,0,0,0,0,0,0
HNRNPA2B1,P22626,9606.ENSP00000346694,MMR,"chromosome, telomeric region ","mRNA splicing, via spliceosome ",miRNA binding ,Chromatin Organization,darkviolet,0,0,4,7.499333333,7.413333333,8.961333333,8.603333333,5.531,8.835666667,7.690666667,5.676333333,7.848333333,4.136666667,7.471666667,8.762,7.038333333,5.059,0,38.50883333,0,0,38.9275,62.599,63.3215
HNRNPA3,P51991,9606.ENSP00000376309,0,messenger ribonucleoprotein complex ,"mRNA splicing, via spliceosome ",mRNA binding ,RNA Metabolism,gold,0,0,2,4.909666667,0,2.052,4.381666667,0,4.005333333,3.642666667,0.094,1.687666667,0,1.709333333,4.253666667,1.602666667,1.606333333,31,0,0,0,0,44.609,0
HNRNPAB,Q99729,9606.ENSP00000425031,0,RNA polymerase II transcription regulator complex ,"transcription, DNA-templated ",mRNA binding ,Transcription Regulation,slateblue1,0,0,2,2.301666667,2.780333333,0,3.006666667,0,4.328,3.181333333,0.217333333,1.705666667,1.789,0.360666667,2.033,0,1.82,25,30.888,25.50033333,31.17666667,37.54033333,60.777,0
HNRNPC,P07910,9606.ENSP00000451291,HR,telomerase holoenzyme complex ,chromatin remodeling ,nucleosomal DNA binding ,Chromatin Organization,darkviolet,2,0,2,6.88975,4.129166667,5.524833333,4.1155,6.197166667,5.291166667,5.2935,3.293666667,3.641,4.302,4.816,4.916666667,2.865333333,3.996666667,0,22.445,0,0,0,0,0
HNRNPCL1,O60812,9606.ENSP00000365370,0,ribonucleoprotein complex,mRNA 3'-end processing,RNA binding,RNA Metabolism,gold,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.38266667,0,0,0
HNRNPD,Q14103,9606.ENSP00000313199,HR,mCRD-mediated mRNA stability complex ,"transcription, DNA-templated ",histone deacetylase binding ,Chromatin Organization,darkviolet,0,4,2,5.5,2.389333333,2.527666667,7.102333333,5.518333333,7.506,5.574666667,3.994,2.668,5.316666667,7.532333333,3.242333333,2.706333333,2.645,0,0,0,0,0,37.943,0
HNRNPH1,P31943,9606.ENSP00000349168,HR,spliceosomal complex ,"mRNA splicing, via spliceosome ",RNA binding ,DNA Repair,firebrick1,0,0,6,6.458,4.946333333,4.454666667,5.528,2.433,5.391,3.623,1.040333333,2.222,2.814666667,3.695666667,2.399,0,0,0,0,25.871,0,33.605,25.51933333,0
HNRNPK,P61978,9606.ENSP00000365458,HR,ribonucleoprotein complex ,"mRNA splicing, via spliceosome ",mRNA binding ,DNA Repair,firebrick1,2,4,2,3.2415,3.028,3.463666667,0.883333333,3.585,2.85,1.498666667,4.892,5.98,5.600666667,6.488666667,4.426666667,5.65,3.633,59,59.25166667,0,0,49.20633333,71.94083333,0
HNRNPL,P14866,9606.ENSP00000221419,DSB,ribonucleoprotein complex ,RNA processing ,mRNA binding ,DNA Repair,firebrick1,1,0,4,6.089333333,3.384,5.465666667,8.032,5.565666667,6.132,4.598,1.296333333,0,2.232666667,3.965666667,2.341333333,0,0,0,0,0,0,54.38316667,0,65.2135
HNRNPM,P52272,9606.ENSP00000325376,0,spliceosomal complex ,"mRNA splicing, via spliceosome ",mRNA binding ,RNA Metabolism,gold,0,0,4,6.473,6.666666667,4.792666667,7.56,5.426,7.105333333,7.077333333,1.100333333,2.035333333,2.629666667,7.132333333,5.519333333,2.718,4.231333333,0,37.05666667,0,0,56.55933333,51.27366667,57.57066667
HNRNPU,Q00839,9606.ENSP00000491215,0,telomerase holoenzyme complex ,chromatin organization ,transcription corepressor activity ,Chromatin Organization,darkviolet,2,0,2,6.319333333,5.652166667,6.697166667,5.1935,6.944833333,6.041166667,5.8775,4.384833333,4.6655,5.4775,5.6605,5.334166667,4.760166667,4.8515,0,55.7945,0,0,0,0,0
HNRNPUL1,Q9BUJ2,9606.ENSP00000375863,0,nucleoplasm ,RNA processing ,RNA binding ,RNA Metabolism,gold,1,0,6,0,1.512333333,0,3.916666667,0,1.657333333,1.932666667,0,0,0,0,0,0,0,0,0,19.954,0,48.29033333,0,0
HP1BP3,Q5SSJ5,9606.ENSP00000403039,0, nuclear speck [GO:0016607],chromatin organization ,chromatin binding ,Chromatin Organization,darkviolet,0,4,5,0,0,0,0,0,0,0,0,0,0,2.697666667,0,0,0,0,0,25.30666667,0,0,0,0
HSD17B10,Q99714,9606.ENSP00000168216,ForkStall,tRNA methyltransferase complex ,RNA processing ,RNA binding ,Chromatin Organization,darkviolet,0,0,4,2.620333333,2.079333333,0,7.556333333,8.589333333,4.338,4.758666667,5.5,5.435666667,3.907666667,6.195,8.177333333,3.7,5.747666667,0,0,50.69916667,0,57.2515,49.88283333,61.9455
HSP90AA1,P07900,9606.ENSP00000335153,NER,nucleoplasm ,response to unfolded protein ,unfolded protein binding ,UPR,maroon,1,4,4,2.040333333,1.995333333,0,5.034,0,1.900666667,0,1.643,1.921333333,2.801333333,5.622666667,2.940333333,0,0,36,30.34966667,0,0,0,30.72333333,43.17866667
HSP90AB1,P08238,9606.ENSP00000360609,NER,nucleoplasm ,response to unfolded protein ,unfolded protein binding ,Cell Cycle regulation,coral1,0,0,4,5.675916667,4.962166667,2.3085,5.435833333,3.703833333,4.889166667,4.200833333,3.4655,3.045166667,2.687833333,4.657833333,4.4645,0.429166667,2.139166667,0,0,37.43066667,0,50.616,32.442,55.92166667
HSP90B1,P14625,9606.ENSP00000299767,0,nucleus ,response to unfolded protein ,unfolded protein binding ,DNA Repair,firebrick1,4,3,4,0,1.092833333,0,0,4.714833333,0,0.552166667,0,0,0,1.5125,5.575166667,0,0,31,0,0,0,0,0,0
HSPA1B,P0DMV8,9606.ENSP00000364801,HR,centrosome ,response to unfolded protein ,unfolded protein binding ,UPR,darkviolet,4,2,4,0,0,0,0,2.4335,1.392833333,0,0,0,0,2.0045,1.796833333,0,0,38,44.01133333,26.92566667,27.74766667,45.20033333,0,62.68733333
HSPA4,P34932,9606.ENSP00000302961,NER,nucleus ,response to unfolded protein ,unfolded protein binding ,UPR,maroon,1,4,0,0,0,0,3.659333333,0,1.992666667,0,0.304333333,0,2.346333333,2.449,0,0,0,0,0,0,0,0,0,0
HSPA5,P11021,9606.ENSP00000324173,0,nucleus ,response to unfolded protein ,unfolded protein binding ,Chromatin Organization,darkviolet,0,1,0,0,0,0,3.2855,6.283833333,2.6765,3.0225,0.1615,0,1.414166667,3.183166667,6.0565,0,2.6915,0,0,0,0,0,0,0
HSPA6,P17066,9606.ENSP00000310219,0,nucleus ,response to unfolded protein ,unfolded protein binding ,UPR,maroon,4,0,2,2.158333333,0,0,1.432333333,3.654666667,0.347666667,0.966333333,2.844,3.676666667,1.261666667,3.212333333,4.573666667,1.008333333,3.338333333,0,0,0,0,31.26116667,37.381,0
HSPA8,P11142,9606.ENSP00000432083,NER,spliceosomal complex ,"mRNA splicing, via spliceosome ",unfolded protein binding ,Cell Cycle regulation,coral1,0,4,0,6.002083333,5.374666667,4.738,4.902333333,6.465,5.095333333,4.505,2.848166667,3.533166667,4.708833333,5.701833333,3.296166667,1.7655,4.408166667,0,0,0,0,0,0,0
HSPA9,P38646,9606.ENSP00000297185,0,nucleolus ,response to unfolded protein ,unfolded protein binding ,UPR,maroon,2,0,0,3.295333333,3.026833333,3.4995,0.5345,3.7455,3.0765,3.306833333,8.146333333,4.706666667,4.790333333,7.811333333,10.17833333,5.938333333,8.904333333,0,0,0,0,0,0,0
HSPB1,P04792,9606.ENSP00000248553,0,nucleus,response to unfolded protein,unfolded protein binding,UPR,maroon,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,43.455,0,0
HSPD1,P10809,9606.ENSP00000373620,0,clathrin-coated pit ,response to unfolded protein ,unfolded protein binding ,DNA Repair,firebrick1,4,0,0,7.528083333,8.251666667,6.954666667,8.024666667,10.00733333,7.795333333,8.616,3.415166667,7.1965,3.982833333,7.7125,7.742166667,8.059833333,9.477166667,0,0,0,0,0,0,0
HTATIP2,Q9BUP3,9606.ENSP00000392985,0,nuclear envelope ,"transcription, DNA-templated ",transcription coactivator activity ,Transcription Regulation,slateblue1,4,3,0,0,0,0,0,1.872333333,0,0,0.820666667,0,0,0,2.851333333,0,0,0,0,0,0,0,0,0
HTATSF1,O43719,9606.ENSP00000442699,RLOOPS,U2-type spliceosomal complex ,"mRNA splicing, via spliceosome ",RNA binding ,Transcription Regulation,slateblue1,0,0,0,1.899666667,1.77,0,0,1.886666667,2.131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HTRA2,O43464,9606.ENSP00000258080,DSB,serine-type endopeptidase complex,proteolysis,"serine-type endopeptidase activity,",Proteasome,grey,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.00066667,63.256,0,57.868,0,58.96633333
IDH2,P48735,9606.ENSP00000331897,0,cytosol,2-oxoglutarate metabolic process,isocitrate dehydrogenase activity,Chromatin Organization,darkviolet,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.26333333,0,0,0
IDH3A,P50213,9606.ENSP00000299518,0,nucleus ,tricarboxylic acid cycle ,NAD binding ,DNA Repair,firebrick1,3,0,0,0,0,0,2.645333333,3.119,0,0,1.321,0,2.441,3.494666667,5.384666667,2.554333333,2.31,0,0,0,0,0,0,0
IDH3B,O43837,9606.ENSP00000370223,0,mitochondrial isocitrate dehydrogenase complex (NAD+) [GO:0005962],2-oxoglutarate metabolic process,isocitrate dehydrogenase (NAD+) activity,DNA Repair,firebrick1,0,3,0,0,0,0,0,0,0,0,0.619666667,0,2.136666667,1.656333333,5.076,0,0,0,0,0,0,0,0,0
IDH3G,P51553,9606.ENSP00000217901,0,mitochondrial isocitrate dehydrogenase complex,2-oxoglutarate metabolic process,isocitrate dehydrogenase activity,Chromatin Organization,darkviolet,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.41766667,0,0,0
IFI16,Q16666,9606.ENSP00000357113,DSB,nuclear speck,negative regulation of transcription from RNA polymerase II promote,transcription factor binding,Transcription Regulation,slateblue1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.496,33.135,49.28533333,0,0
IGF2BP1,Q9NZI8,9606.ENSP00000290341,0,CRD-mediated mRNA stability complex,CRD-mediated mRNA stabilization,mRNA 3'-UTR binding,RNA Metabolism,gold,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.07533333,0,0
IGF2BP3,O00425,9606.ENSP00000258729,0,P-body ,RNA processing ,mRNA binding ,p53 Pathway,tomato,4,3,3,0,0,0,0,2.727333333,0,0,0,0,0,0,5.830666667,0,0,0,0,0,0,24.96166667,0,0
ILF2,Q12905,9606.ENSP00000355011,NHEJ,ribonucleoprotein complex ,"transcription, DNA-templated ",DNA binding ,Transcription Regulation,slateblue1,0,0,3,9.177,8.344333333,7.666333333,8.291,10.29366667,8.51,9.55966667,4.791333333,6.049333333,6.498666667,9.018666667,8.040666667,5.926666667,6.496666667,0,0,0,0,39.5565,0,0
ILF3,Q12906,9606.ENSP00000404121,0,ribonucleoprotein complex ,"transcription, DNA-templated ",DNA binding ,Transcription Regulation,slateblue1,1,2,4,2.076,5.056,4.144333333,7.725,2.855,6.218,2.815,4.037,0,2.678333333,6.574,5.683,2.131333333,0,0,0,0,0,0,66.11483333,65.99733333
IMPDH2,P12268,9606.ENSP00000321584,0,nucleus ,cellular response to interleukin-4 ,DNA binding ,Cell Cycle regulation,coral1,2,2,1,4.722666667,2.598666667,5.175,0,0,2.392333333,0,0.803333333,0,0,2.568666667,2.772333333,0,0,0,0,0,20.42666667,0,0,0
