NAME,Uniprot,stringId,DNA_Repair,GO_CC,GO_BP,GO_MF,Annotation,An.color,An.number
HNRNPL,P14866,9606.ENSP00000221419,DSB,ribonucleoprotein complex ,RNA processing ,mRNA binding ,DNA Repair,firebrick1,3
JUP,P14923,9606.ENSP00000377508,0, gamma-catenin-TCF7L2 complex [GO:0071665],positive regulation of protein kinase activity ,protein kinase binding ,Transcription Regulation,slateblue1,9
NME1,P15531,9606.ENSP00000337060,0,nucleus ,regulation of apoptotic process ,RNA binding ,DNA Repair,firebrick1,3
NQO1,P15559,9606.ENSP00000319788,0,cytoplasm [GO:0005737],response to oxidative stress,NADH dehydrogenase activity,DNA Repair,firebrick1,3
RPS2,P15880,9606.ENSP00000341885,DSB,cytosolic large ribosomal subunit ,ribosome biogenesis ,structural constituent of ribosome ,Chromatin Organization,darkviolet,2
DSP,P15924,9606.ENSP00000369129,0,nucleus ,lipid binding ,RNA binding ,Chromatin Organization,darkviolet,2
H1-5,P16401,9606.ENSP00000330074,DSB,nucleosome ,chromatin organization ,structural constituent of chromatin ,Chromatin Organization,darkviolet,2
HIST1H1C,P16403,9606.ENSP00000339566,DSB,nucleosome ,chromatin organization ,structural constituent of chromatin ,Chromatin Organization,darkviolet,2
HSPA6,P17066,9606.ENSP00000310219,0,nucleus ,response to unfolded protein ,unfolded protein binding ,UPR,maroon,10
DDX5,P17844,9606.ENSP00000225792,NER,ribonucleoprotein complex ,"mRNA splicing, via spliceosome ",RNA helicase activity ,DNA Repair,firebrick1,3
LGALS3,P17931,9606.ENSP00000254301,0, spliceosomal complex [GO:0005681],RNA splicing ,RNA binding ,DNA Repair,firebrick1,3
RPL7,P18124,9606.ENSP00000339795,0,ribonucleoprotein complex ,rRNA processing ,structural constituent of ribosome ,Ribosome Biosynthesis,lightgreen,7
SON,P18583,9606.ENSP00000348984,0,nuclear speck ,RNA processing ,RNA binding ,Cell Cycle regulation,coral1,1
RPL17,P18621,9606.ENSP00000463842,0,cytosolic large ribosomal subunit ,ribosome biogenesis ,structural constituent of ribosome ,Ribosome Biosynthesis,lightgreen,7
PGAM1,P18669,9606.ENSP00000359991,0, ficolin-1-rich granule lumen [GO:1904813],glycolytic process ,protein kinase binding ,DNA Repair,firebrick1,3
RCC1,P18754,9606.ENSP00000497402,DSB,condensed nuclear chromosome ,chromatin organization ,chromatin binding ,Cell Cycle regulation,coral1,1
XRCC1,P18887,9606.ENSP00000262887,DSB,ERCC4-ERCC1 complex ,double-strand break repair ,damaged DNA binding ,DNA Repair,firebrick1,3
NCL,P19338,9606.ENSP00000318195,DSB,spliceosomal complex ,"transcription, DNA-templated ",DNA binding ,Transcription Regulation,slateblue1,9
POLR2E,P19388,9606.ENSP00000478303,HR,"RNA polymerase II, core complex ","transcription, DNA-templated ",DNA binding ,Transcription Regulation,slateblue1,9
ATP2B1,P20020,9606.ENSP00000392043,HR,"glutamatergic synapse,","cellular calcium ion homeostasis,GO:0007420~brain development",calcium ion transmembrane transporter activity,Cell Cycle regulation,coral1,1
ANXA7,P20073,9606.ENSP00000362010,0,nucleus,negative regulation of gene expression,RNA binding,Cell Cycle regulation,coral1,1
RAB5A,P20339,9606.ENSP00000273047,0,actin cytoskeleton,intracellular protein transport,GTPase activity,Cell Cycle regulation,coral1,1
LMNB1,P20700,9606.ENSP00000261366,NER,nuclear envelope ,nuclear envelope organization ,lamin binding ,DNA Repair,firebrick1,3
FLNA,P21333,9606.ENSP00000358866,0,actin cytoskeleton [GO:0015629],actin filament capping ,microtubule binding ,DNA Repair,firebrick1,3
VDAC1,P21796,9606.ENSP00000378487,0,nucleus,apoptotic process,porin activity,Cell Cycle regulation,coral1,1
MMUT,P22033,9606.ENSP00000274813,0,cytoplasm,succinyl-CoA biosynthetic process,GTPase activity,Chromatin Organization,darkviolet,2
FBL,P22087,9606.ENSP00000221801,DSB,box C/D RNP complex ,rRNA processing ,methyltransferase activity ,Chromatin Organization,darkviolet,2
PAICS,P22234,9606.ENSP00000382595,0,cytoplasm [GO:0005737],purine nucleobase biosynthetic process,phosphoribosylaminoimidazole carboxylase activity,DNA Repair,firebrick1,3
HNRNPA2B1,P22626,9606.ENSP00000346694,MMR,"chromosome, telomeric region ","mRNA splicing, via spliceosome ",miRNA binding ,Chromatin Organization,darkviolet,2
RFX1,P22670,9606.ENSP00000254325,0,chromatin,regulation of transcription from RNA polymerase II promoter,RNA polymerase II transcription factor activity,Transcription Regulation,slateblue1,9
UQCRC2,P22695,9606.ENSP00000268379,0,nucleoplasm,oxidative phosphorylation,metalloendopeptidase activity,p53 Pathway,tomato,5
SFPQ,P23246,9606.ENSP00000349748,DSB,RNA polymerase II transcription regulator complex ,"transcription, DNA-templated ",histone deacetylase binding ,DNA Repair,firebrick1,3
PPIB,P23284,9606.ENSP00000300026,0,chaperone complex,protein folding,unfolded protein binding,UPR,maroon,10
RPS3,P23396,9606.ENSP00000278572,DSB,NF-kappaB complex ,double-strand break repair ,structural constituent of ribosome ,DNA Repair,firebrick1,3
AHCY,P23526,9606.ENSP00000217426,0,cytosol [GO:0005829],S-adenosylmethionine cycle,NAD binding ,DNA Repair,firebrick1,3
HIST1H2BO,P23527,9606.ENSP00000477527,DSB,nucleosome ,chromatin organization ,structural constituent of chromatin ,Chromatin Organization,darkviolet,2
CFL1,P23528,9606.ENSP00000432660,0,nuclear matrix ,negative regulation of apoptotic process ,actin filament binding ,Cell Cycle regulation,coral1,1
MCM3,P25205,9606.ENSP00000480987,0,MCM complex ,DNA duplex unwinding ,DNA helicase activity ,DNA Repair,firebrick1,3
AZGP1,P25311,9606.ENSP00000292401,0,nucleus,negative regulation of cell proliferation,"GO:0004540~ribonuclease activity,GO:0005515~protein binding,GO:0008320~protein transmembrane transporter activity,",Cell Cycle regulation,coral1,1
PSMA1,P25786,9606.ENSP00000414359,HR,proteasome complex ,proteasomal protein catabolic process ,RNA binding ,Proteasome,grey,6
PSMA2,P25787,9606.ENSP00000223321,HR,proteasome complex ,proteasomal protein catabolic process ,proteasome-activating ATPase activity ,Proteasome,grey,6
PSMA3,P25788,9606.ENSP00000216455,DSB,proteasome complex ,proteasomal protein catabolic process ,ubiquitin protein ligase binding ,Proteasome,grey,6
MSN,P26038,9606.ENSP00000353408,0,nucleus,positive regulation of gene expression,double-stranded RNA binding,RNA Metabolism,gold,8
U2AF2,P26368,9606.ENSP00000307863,0,spliceosomal complex,"mRNA splicing, via spliceosome",RNA binding,RNA Metabolism,gold,8
RPL13,P26373,9606.ENSP00000307889,0,nucleolus ,ribosome biogenesis ,structural constituent of ribosome ,Ribosome Biosynthesis,lightgreen,7
PTBP1,P26599,9606.ENSP00000349428,NER,nucleoplasm ,RNA splicing ,DNA binding ,RNA Metabolism,gold,8
RPL10,P27635,9606.ENSP00000413436,0,cytosolic large ribosomal subunit ,cytoplasmic translation ,structural constituent of ribosome ,Transcription Regulation,slateblue1,9
RPA1,P27694,9606.ENSP00000254719,HR,site of DNA damage ,base-excision repair ,damaged DNA binding ,DNA Repair,firebrick1,3
APEX1,P27695,9606.ENSP00000216714,BER,"chromosome, telomeric region ",base-excision repair ,damaged DNA binding ,DNA Repair,firebrick1,3
CALR,P27797,9606.ENSP00000320866,0, nuclear envelope [GO:0005635],response to unfolded protein ,unfolded protein binding ,DNA Repair,firebrick1,3
CANX,P27824,9606.ENSP00000247461,0,nuclear membrane,protein folding,unfolded protein binding,UPR,maroon,10
PSMA5,P28066,9606.ENSP00000271308,HR,proteasome complex ,proteasomal protein catabolic process ,proteasome-activating ATPase activity ,Proteasome,grey,6
PSMB6,P28072,9606.ENSP00000270586,NHEJ,proteasome complex ,proteasomal protein catabolic process ,threonine-type endopeptidase activity ,Proteasome,grey,6
ERCC5,P28715,9606.ENSP00000498881,NER,nucleotide-excision repair complex,nucleotide-excision repair,endonuclease activity,DNA Repair,firebrick1,3
LAP3,P28838,9606.ENSP00000226299,0, nucleoplasm [GO:0005654],proteolysis,peptidase activity,p53 Pathway,tomato,5
MPG,P29372,9606.ENSP00000219431,BER,nucleoplasm ,base-excision repair ,damaged DNA binding ,DNA Repair,firebrick1,3
TKT,P29401,9606.ENSP00000391481,HR,nuclear body ,glyceraldehyde-3-phosphate biosynthetic process ,transketolase activity ,Chromatin Organization,darkviolet,2
SERPINB3,P29508,9606.ENSP00000283752,0,nucleus ,negative regulation of proteolysis ,protease binding ,Chromatin Organization,darkviolet,2
EEF1D,P29692,9606.ENSP00000410059,0,nucleus,cellular response to ionizing radiation,translation elongation factor activity,Ribosome Biosynthesis,lightgreen,7
PRDX3,P30048,9606.ENSP00000298510,0,early endosome ,positive regulation of NF-kappaB transcription factor activity ,protein kinase binding ,Chromatin Organization,darkviolet,2
PDIA3,P30101,9606.ENSP00000300289,0,Tapasin-ERp57 complex ,response to unfolded protein ,RNA binding ,DNA Repair,firebrick1,3
PPP2R1B,P30154,9606.ENSP00000311344,0,protein phosphatase type 2A complex,protein dephosphorylation,protein phosphatase regulator activity,Cell Cycle regulation,coral1,1
NMT1,P30419,9606.ENSP00000468424,0,cytoplasm ,N-terminal protein myristoylation ,myristoyltransferase activity ,Cell Cycle regulation,coral1,1
ALDH1B1,P30837,9606.ENSP00000366927,0, nucleoplasm [GO:0005654],NAD metabolic process,NAD binding ,DNA Repair,firebrick1,3
SDHA,P31040,9606.ENSP00000264932,0,nucleolus,succinate dehydrogenase,"succinate dehydrogenase activity,",Ribosome Biosynthesis,lightgreen,7
S100A7,P31151,9606.ENSP00000357712,0,nucleus ,response to ROS ,calcium binding ,p53 Pathway,tomato,5
CPS1,P31327,9606.ENSP00000402608,0,nucleolus ,cellular response to cAMP ,endopeptidase activity ,Cell Cycle regulation,coral1,1
DNAJA1,P31689,9606.ENSP00000369127,0,nucleus,response to unfolded protein,unfolded protein binding,UPR,maroon,10
HNRNPH1,P31943,9606.ENSP00000349168,HR,spliceosomal complex ,"mRNA splicing, via spliceosome ",RNA binding ,DNA Repair,firebrick1,3
YWHAB,P31946,9606.ENSP00000361930,0,perinuclear region of cytoplasm ,"transcription, DNA-templated ",histone deacetylase binding ,Transcription Regulation,slateblue1,9
RPL9,P32969,9606.ENSP00000400467,0,cytosolic large ribosomal subunit ,ribosome biogenesis ,structural constituent of ribosome ,Ribosome Biosynthesis,lightgreen,7
CSTF2,P33240,9606.ENSP00000387996,0,mRNA cleavage and polyadenylation specificity factor complex,mRNA 3'-end processing,mRNA binding,RNA Metabolism,gold,8
MCM4,P33991,9606.ENSP00000262105,DSB,MCM complex,DNA replication,DNA helicase activity,Cell Cycle regulation,coral1,1
MCM5,P33992,9606.ENSP00000216122,0,CMG complex ,DNA duplex unwinding ,DNA helicase activity ,Cell Cycle regulation,coral1,1
MCM7,P33993,9606.ENSP00000307288,0,CMG complex ,DNA duplex unwinding ,DNA helicase activity ,Cell Cycle regulation,coral1,1
SHMT1,P34896,9606.ENSP00000318868,0,nucleus,protein deubiquitination,glycine hydroxymethyltransferase activity,Cell Cycle regulation,coral1,1
SHMT2,P34897,9606.ENSP00000333667,0,BRISC complex ,negative regulation of protein ubiquitination ,methyltransferase activity ,Chromatin Organization,darkviolet,2
HSPA4,P34932,9606.ENSP00000302961,NER,nucleus ,response to unfolded protein ,unfolded protein binding ,UPR,maroon,10
CTNNB1,P35222,9606.ENSP00000495360,0,Wnt signalosome ,"transcription, DNA-templated ",transcription coactivator activity ,Chromatin Organization,darkviolet,2
PHB,P35232,9606.ENSP00000479488,DSB,nucleoplasm ,histone deacetylation ,histone deacetylase binding ,Chromatin Organization,darkviolet,2
RFC2,P35250,9606.ENSP00000055077,HR,DNA replication factor C complex ,DNA duplex unwinding ,single-stranded DNA-dependent ATP-dependent DNA helicase activity ,DNA Repair,firebrick1,3
RPL22,P35268,9606.ENSP00000346088,DSB,ribonucleoprotein complex ,ribosome biogenesis ,structural constituent of ribosome ,Ribosome Biosynthesis,lightgreen,7
MYH9,P35579,9606.ENSP00000216181,NER,myosin complex ,protein transport ,ATPase activity ,Cell Cycle regulation,coral1,1
FUS,P35637,9606.ENSP00000254108,0,nucleoplasm ,double-strand break repair ,transcription coactivator activity ,DNA Repair,firebrick1,3
NUP214,P35658,9606.ENSP00000352400,0,nuclear pore ,nucleocytoplasmic transport ,structural constituent of nuclear pore ,Nuclear Pore,deepskyblue3,4
PSMC2,P35998,9606.ENSP00000391211,0,proteasome complex ,proteasomal protein catabolic process ,proteasome-activating ATPase activity ,Proteasome,grey,6
RPL4,P36578,9606.ENSP00000311430,0,nucleolus ,ribosome biogenesis ,structural constituent of ribosome ,Ribosome Biosynthesis,lightgreen,7
LONP1,P36776,9606.ENSP00000353826,0,nucleoplasm,misfolded or incompletely synthesized protein catabolic process,serine-type endopeptidase activity,UPR,maroon,10
PPP1CC,P36873,9606.ENSP00000341779,0,PTW/PP1 phosphatase complex ,cell cycle ,protein phosphatase 1 binding ,Cell Cycle regulation,coral1,1
DLST,P36957,9606.ENSP00000335304,0,oxoglutarate dehydrogenase complex ,2-oxoglutarate metabolic process ,transferase activity transferring acyl groups ,Chromatin Organization,darkviolet,2
NUP62,P37198,9606.ENSP00000471191,0,nuclear pore ,nucleocytoplasmic transport ,structural constituent of nuclear pore ,Nuclear Pore,deepskyblue3,4
FDFT1,P37268,9606.ENSP00000491537,0,"endoplasmic reticulum,",farnesyl diphosphate metabolic process,"farnesyltranstransferase activity,",Cell Cycle regulation,coral1,1
RBMX,P38159,9606.ENSP00000359645,NHEJ,spliceosomal complex ,"mRNA splicing, via spliceosome ",mRNA binding ,Transcription Regulation,slateblue1,9
HSPA9,P38646,9606.ENSP00000297185,0,nucleolus ,response to unfolded protein ,unfolded protein binding ,UPR,maroon,10
EIF4A3,P38919,9606.ENSP00000497641,HR,spliceosomal complex ,"mRNA splicing, via spliceosome ",RNA helicase activity ,Ribosome Biosynthesis,lightgreen,7
RPS19,P39019,9606.ENSP00000470972,0, cytosolic small ribosomal subunit [GO:0022627],ribosome biogenesis ,structural constituent of ribosome ,Ribosome Biosynthesis,lightgreen,7
RPL3,P39023,9606.ENSP00000346001,0,nucleolus ,ribosome biogenesis ,structural constituent of ribosome ,Ribosome Biosynthesis,lightgreen,7
FEN1,P39748,9606.ENSP00000305480,HR,"chromosome, telomeric region ",double-strand break repair ,damaged DNA binding ,DNA Repair,firebrick1,3
CCT6A,P40227,9606.ENSP00000275603,0,chaperonin-containing T-complex [GO:0005832],response to unfolded protein ,unfolded protein binding ,Cell Cycle regulation,coral1,1
RPL13A,P40429,9606.ENSP00000375730,0,cytosolic large ribosomal subunit ,ribosome biogenesis ,structural constituent of ribosome ,Ribosome Biosynthesis,lightgreen,7
MDH2,P40926,9606.ENSP00000327070,0,nucleus,oxaloacetate metabolic process,L-malate dehydrogenase activity,Transcription Regulation,slateblue1,9
RFC5,P40937,9606.ENSP00000408295,HR, DNA replication factor C complex [GO:0005663],DNA duplex unwinding ,ATPase activity ,DNA Repair,firebrick1,3
RFC3,P40938,9606.ENSP00000369411,HR,DNA replication factor C complex ,DNA duplex unwinding ,single-stranded DNA-dependent ATP-dependent DNA helicase activity ,DNA Repair,firebrick1,3
TMPO,P42166,9606.ENSP00000266732,0,nuclear envelope ,nuclear envelope organization ,lamin binding ,Chromatin Organization,darkviolet,2
MTREX,P42285,9606.ENSP00000230640,0,TRAMP complex ,"mRNA splicing, via spliceosome ",RNA helicase activity ,DNA Repair,firebrick1,3
RPS27,P42677,9606.ENSP00000357555,0,nucleolus ,ribosome biogenesis ,structural constituent of ribosome ,Ribosome Biosynthesis,lightgreen,7
LRPPRC,P42704,9606.ENSP00000260665,DSB,ribonucleoprotein complex ,mRNA transport ,ubiquitin protein ligase binding ,RNA Metabolism,gold,8
RPL35,P42766,9606.ENSP00000259469,0,cytosolic large ribosomal subunit ,ribosome biogenesis ,structural constituent of ribosome ,Ribosome Biosynthesis,lightgreen,7
CDKN2A,P42771,9606.ENSP00000418915,0,senescence-associated heterochromatin focus ,cell cycle ,protein kinase binding ,DNA Repair,firebrick1,3
MATR3,P43243,9606.ENSP00000354346,0,nuclear matrix ,posttranscriptional regulation of gene expression ,miRNA binding ,DNA Repair,firebrick1,3
MSH2,P43246,9606.ENSP00000233146,MMR,MutSbeta complex ,double-strand break repair ,damaged DNA binding ,DNA Repair,firebrick1,3
GPD2,P43304,9606.ENSP00000308610,0,glycerol-3-phosphate dehydrogenase complex,glycerol catabolic process,glycerol-3-phosphate dehydrogenase activity,Transcription Regulation,slateblue1,9
PSMC4,P43686,9606.ENSP00000157812,ForkStall,proteasome complex ,proteasomal protein catabolic process ,proteasome-activating ATPase activity ,Proteasome,grey,6
TSFM,P43897,9606.ENSP00000313877,0,nucleoplasm ,"transcription, DNA-templated ",RNA binding ,Transcription Regulation,slateblue1,9
CBX5,P45973,9606.ENSP00000209875,0,histone methyltransferase complex ,chromatin organization ,methylated histone binding ,DNA Repair,firebrick1,3
MKI67,P46013,9606.ENSP00000357643,0,chromosome ,chromatin organization ,DNA binding ,Cell Cycle regulation,coral1,1
RANGAP1,P46060,9606.ENSP00000401470,0,SUMO ligase complex ,nucleocytoplasmic transport ,ubiquitin protein ligase binding ,DNA Repair,firebrick1,3
RECQL,P46063,9606.ENSP00000416739,ForkStall,"chromosome,",double-strand break repair via homologous recombination,DNA helicase activity,DNA Repair,firebrick1,3
NOP2,P46087,9606.ENSP00000371858,0,nucleoplasm ,regulation of signal transduction by p53 class mediator ,methyltransferase activity ,p53 Pathway,tomato,5
ATRX,P46100,9606.ENSP00000362441,0,"chromosome, telomeric region ",chromatin organization ,damaged DNA binding ,DNA Repair,firebrick1,3
MTIF2,P46199,9606.ENSP00000263629,0,nucleoplasm,ribosome disassembly,translation factor activity,Ribosome Biosynthesis,lightgreen,7
RPL5,P46777,9606.ENSP00000359345,HR,nucleolus ,ribosome biogenesis ,structural constituent of ribosome ,p53 Pathway,tomato,5
RPL21,P46778,9606.ENSP00000346027,0,ribosome,translation,structural constituent of ribosome,Ribosome Biosynthesis,lightgreen,7
RPS9,P46781,9606.ENSP00000375632,DSB,cytosolic large ribosomal subunit ,ribosome biogenesis ,structural constituent of ribosome ,Proteasome,grey,6
RPS5,P46782,9606.ENSP00000472985,0, cytosolic small ribosomal subunit [GO:0022627],ribosome biogenesis ,structural constituent of ribosome ,Ribosome Biosynthesis,lightgreen,7
RPS10,P46783,9606.ENSP00000481646,NER,nucleolus ,ribosome biogenesis ,structural constituent of ribosome ,Ribosome Biosynthesis,lightgreen,7
IQGAP1,P46940,9606.ENSP00000268182,0,ribonucleoprotein complex ,positive regulation of protein kinase activity ,protein kinase binding ,Chromatin Organization,darkviolet,2
RPL29,P47914,9606.ENSP00000294189,0,ribosome,translation,structural constituent of ribosome,Ribosome Biosynthesis,lightgreen,7
CCT5,P48643,9606.ENSP00000280326,0,chaperonin-containing T-complex ,positive regulation of telomere maintenance via telomerase ,mRNA binding ,Ribosome Biosynthesis,lightgreen,7
NES,P48681,9606.ENSP00000357206,0,intermediate filament,G2/M transition of mitotic cell cycle,intermediate filament binding,Cell Cycle regulation,coral1,1
IDH2,P48735,9606.ENSP00000331897,0,cytosol,2-oxoglutarate metabolic process,isocitrate dehydrogenase activity,Chromatin Organization,darkviolet,2
POLD2,P49005,9606.ENSP00000480186,DSB,DNA polymerase complex,DNA replication,DNA binding,DNA Repair,firebrick1,3
RPL34,P49207,9606.ENSP00000378163,NHEJ,nucleolus,translation,structural constituent of ribosome,Ribosome Biosynthesis,lightgreen,7
FASN,P49327,9606.ENSP00000304592,0, glycogen granule [GO:0042587], fatty acid biosynthetic process,RNA binding ,DNA Repair,firebrick1,3
CCT3,P49368,9606.ENSP00000295688,0, chaperonin-containing T-complex [GO:0005832],response to unfolded protein ,unfolded protein binding ,DNA Repair,firebrick1,3
MRPL19,P49406,9606.ENSP00000377486,0,nucleus ,ribosome biogenesis ,structural constituent of ribosome ,Ribosome Biosynthesis,lightgreen,7
ALDH7A1,P49419,9606.ENSP00000387123,0, nucleus [GO:0005634],glycolytic process ,aldehyde dehydrogenase (NAD) activity,DNA Repair,firebrick1,3
PSMB3,P49720,9606.ENSP00000483688,HR,proteasome complex ,proteasomal protein catabolic process ,threonine-type endopeptidase activity ,Proteasome,grey,6
PSMB2,P49721,9606.ENSP00000362334,HR,proteasome complex ,proteasomal protein catabolic process ,threonine-type endopeptidase activity ,Proteasome,grey,6
MCM2,P49736,9606.ENSP00000265056,0, MCM complex [GO:0042555],DNA duplex unwinding ,DNA helicase activity ,Cell Cycle regulation,coral1,1
NUP153,P49790,9606.ENSP00000444029,0,nuclear pore ,nucleocytoplasmic transport ,structural constituent of nuclear pore ,Nuclear Pore,deepskyblue3,4
RANBP2,P49792,9606.ENSP00000283195,0,SUMO ligase complex ,nucleocytoplasmic transport ,RNA binding ,Nuclear Pore,deepskyblue3,4
GSK3B,P49841,9606.ENSP00000324806,0,Wnt signalosome,signal transduction,kinase activity,Cell Cycle regulation,coral1,1
SEPHS1,P49903,9606.ENSP00000367893,0,nuclear membrane,selenocysteine biosynthetic process,"selenide, water dikinase activity",Cell Cycle regulation,coral1,1
MRE11A,P49959,9606.ENSP00000325863,HR,Mre11 complex ,double-strand break repair ,damaged DNA binding ,DNA Repair,firebrick1,3
IDH3A,P50213,9606.ENSP00000299518,0,nucleus ,tricarboxylic acid cycle ,NAD binding ,DNA Repair,firebrick1,3
EMD,P50402,9606.ENSP00000358857,0,nuclear envelope ,nuclear envelope organization , nuclear envelope ,Chromatin Organization,darkviolet,2
VASP,P50552,9606.ENSP00000245932,0,actin cytoskeleton [GO:0015629],axon guidance,actin filament organization ,DNA Repair,firebrick1,3
DNM2,P50570,9606.ENSP00000373905,NER,centrosome ,"transcription, DNA-templated ",protein kinase binding ,Cell Cycle regulation,coral1,1
CCT8,P50990,9606.ENSP00000286788,HR,chaperonin-containing T-complex ,positive regulation of telomere maintenance via telomerase ,unfolded protein binding ,Nuclear Pore,deepskyblue3,4
CCT4,P50991,9606.ENSP00000377958,0,chaperonin-containing T-complex ,positive regulation of telomere maintenance via telomerase ,unfolded protein binding ,Chromatin Organization,darkviolet,2
ANXA11,P50995,9606.ENSP00000398610,0,nuclear envelope,cytokinetic process,calcium ion binding,Cell Cycle regulation,coral1,1
FXR1,P51114,9606.ENSP00000350170,0,nucleus,"regulation of alternative mRNA splicing, via spliceosome",mRNA 3'-UTR binding,RNA Metabolism,gold,8
RAB5C,P51148,9606.ENSP00000447053,0, lysosomal membrane [GO:0005765],cell cycle ,GTPase activity ,DNA Repair,firebrick1,3
DAP3,P51398,9606.ENSP00000357320,0,nucleoplasm ,ribosome biogenesis ,RNA binding ,p53 Pathway,tomato,5
SMARCA2,P51531,9606.ENSP00000371638,DSB,SWI/SNF comple,chromatin remodeling,DNA-dependent ATPase activity,Chromatin Organization,darkviolet,2
SMARCA4,P51532,9606.ENSP00000343896,DSB,SWI/SNF complex ,ATP-dependent chromatin remodeling ,transcription corepressor activity ,Chromatin Organization,darkviolet,2
IDH3G,P51553,9606.ENSP00000217901,0,mitochondrial isocitrate dehydrogenase complex,2-oxoglutarate metabolic process,isocitrate dehydrogenase activity,Chromatin Organization,darkviolet,2
HCFC1,P51610,9606.ENSP00000309555,DSB,MLL1 complex ,histone H3-K4 methylation ,transcription coactivator activity ,Chromatin Organization,darkviolet,2
HNRNPA3,P51991,9606.ENSP00000376309,0,messenger ribonucleoprotein complex ,"mRNA splicing, via spliceosome ",mRNA binding ,RNA Metabolism,gold,8
HNRNPM,P52272,9606.ENSP00000325376,0,spliceosomal complex ,"mRNA splicing, via spliceosome ",mRNA binding ,RNA Metabolism,gold,8
KPNA2,P52292,9606.ENSP00000438483,0, nucleoplasm [GO:0005654],nucleocytoplasmic transport ,histone deacetylase binding ,DNA Repair,firebrick1,3
KPNA1,P52294,9606.ENSP00000343701,0,nuclear pore,protein import into nucleus,nuclear import signal receptor activity,Nuclear Pore,deepskyblue3,4
POLR2H,P52434,9606.ENSP00000415536,HR,"RNA polymerase II, core complex ","transcription, DNA-templated ",single-stranded DNA binding ,Transcription Regulation,slateblue1,9
NUP98,P52948,9606.ENSP00000316032,0,nuclear pore ,nucleocytoplasmic transport ,structural constituent of nuclear pore ,Nuclear Pore,deepskyblue3,4
SLC25A1,P53007,9606.ENSP00000215882,0,nucleus,gluconeogenesis,citrate transmembrane transporter activity,Transcription Regulation,slateblue1,9
ACLY,P53396,9606.ENSP00000253792,DSB,nucleoplasm ,acetyl-CoA biosynthetic process ,damaged DNA binding ,DNA Repair,firebrick1,3
EIF5,P55010,9606.ENSP00000216554,0,cytoplasm,ribosome assembly,translation initiation factor activity,Ribosome Biosynthesis,lightgreen,7
PSMD4,P55036,9606.ENSP00000357876,DSB,proteasome complex ,proteasomal protein catabolic process ,proteasome-activating ATPase activity ,Proteasome,grey,6
VCP,P55072,9606.ENSP00000351777,0,VCP-NSFL1C complex ,double-strand break repair ,ubiquitin protein ligase binding ,DNA Repair,firebrick1,3
HADHB,P55084,9606.ENSP00000325136,0,mitochondrial nucleoid,gene expression,"acetyl-CoA C-acetyltransferase activity,GO:0003988~acetyl-CoA C-acyltransferase activity,",Transcription Regulation,slateblue1,9
ADAR,P55265,9606.ENSP00000357459,0,supraspliceosomal complex ,RNA processing ,RNA binding ,Chromatin Organization,darkviolet,2
NHP2L1,P55769,9606.ENSP00000383949,DSB,precatalytic spliceosome ,"mRNA splicing, via spliceosome ",RNA binding ,Ribosome Biosynthesis,lightgreen,7
EIF3B,P55884,9606.ENSP00000354125,NHEJ, eukaryotic translation initiation factor 3 complex [GO:0005852],translational initiation,ribosome binding ,Ribosome Biosynthesis,lightgreen,7
MARS1,P56192,9606.ENSP00000262027,0,nucleolus,rRNA transcription,aminoacyl-tRNA ligase activity,RNA Metabolism,gold,8
EIF6,P56537,9606.ENSP00000363559,0,nucleolus,ribosomal subunit export from nucleus,ribosomal large subunit binding,Ribosome Biosynthesis,lightgreen,7
CTBP2,P56545,9606.ENSP00000311825,0,"transcriptional repressor complex,",negative regulation of cell proliferation,transcription corepressor activity,Transcription Regulation,slateblue1,9
NUP107,P57740,9606.ENSP00000229179,0,nuclear pore ,nucleocytoplasmic transport ,structural constituent of nuclear pore ,Nuclear Pore,deepskyblue3,4
ARPC4,P59998,9606.ENSP00000388169,0, site of double-strand break [GO:0035861],actin filament capping ,,DNA Repair,firebrick1,3
TPI1,P60174,9606.ENSP00000229270,DSB,nucleus ,glycolytic process ,ubiquitin protein ligase binding ,Chromatin Organization,darkviolet,2
ACTB,P60709,9606.ENSP00000494750,NER,SWI/SNF complex,regulation of transcription from RNA polymerase II promoter,structural constituent of cytoskeleton,DNA Repair,firebrick1,3
EIF4A1,P60842,9606.ENSP00000293831,HR, eukaryotic translation initiation factor 4F complex [GO:0016281],translational initiation,RNA helicase activity ,Ribosome Biosynthesis,lightgreen,7
RPS20,P60866,9606.ENSP00000429374,0,cytosolic large ribosomal subunit ,ribosome biogenesis ,structural constituent of ribosome ,Chromatin Organization,darkviolet,2
PSMA6,P60900,9606.ENSP00000261479,DSB,proteasome complex ,proteasomal protein catabolic process ,threonine-type endopeptidase activity ,Proteasome,grey,6
CDC42,P60953,9606.ENSP00000383118,0, cytoplasmic ribonucleoprotein granule [GO:0036464],positive regulation of protein kinase activity ,protein kinase binding ,Chromatin Organization,darkviolet,2
ACTR3,P61158,9606.ENSP00000263238,0, site of double-strand break [GO:0035861],actin filament capping ,damaged DNA binding ,DNA Repair,firebrick1,3
ACTR2,P61160,9606.ENSP00000367220,0, site of double-strand break [GO:0035861],cell division ,actin binding,DNA Repair,firebrick1,3
ABCE1,P61221,9606.ENSP00000296577,0,cytosolic ribosome,negative regulation of endoribonuclease activity,endoribonuclease inhibitor activity,RNA Metabolism,gold,8
