NAME,DNA_Repair,GO_CC,GO_BP,GO_MF,Uniprot,stringId,Description,nonIR5,IR5,IR30,IR2h,IR8h,IR24h,nonIR24,FC.nonIR5,FC.IR5,FC.IR30,FC.IR2,FC.IR8,FC.IR24,FC.nonIR24,Annotation,An.color,An.number,FuzzyCMeans,Sensor,All_Venn,nonIR5_Venn,IR5_Venn,IR30_Venn,IR2_Venn,IR8_Venn,IR24_Venn,nonIR24_Venn,C2hrs_Venn,C8hrs_Venn,Cmin2hrs_Venn,C2&8hrs_Venn,PCA,OPLS.Sensor,OPLS.Test,VIP.S6vsMre,VIP.S6vsKu,VIP.KuvsMre,Degree,Eigen,Closeness,Betweeness,Hubs,Authority,Transitivity,nonIR5.Degree,nonIR5.Connectivity,nonIR5.Participation,nonIR5.Module,nonIR5.Role,IR5.Degree,IR5.Connectivity,IR5.Participation,IR5.Module,IR5.Role,IR30.Degree,IR30.Connectivity,IR30.Participation,IR30.Module,IR30.Role,IR2.Degree,IR2.Connectivity,IR2.Participation,IR2.Module,IR2.Role,IR8.Degree,IR8.Connectivity,IR8.Participation,IR8.Module,IR8.Role,IR24.Degree,IR24.Connectivity,IR24.Participation,IR24.Module,IR24.Role,nonIR24.Degree,nonIR24.Connectivity,nonIR24.Participation,nonIR24.Module,nonIR24.Role,Sensor2
HNRNPAB,0,RNA polymerase II transcription regulator complex ,"transcription, DNA-templated ",mRNA binding ,Q99729,9606.ENSP00000425031,Heterogeneous nuclear ribonucleoprotein A/B; Binds single-stranded RNA. Has a high affinity for G- rich and U-rich regions of hnRNA. Also binds to APOB mRNA transcripts around the RNA editing site; RNA binding motif containing,1,1,0,1,0,1,1,2.301666667,2.780333333,0,3.006666667,0,4.328,3.181333333,Transcription Regulation,slateblue1,9,0,Sirt6,S6&Ku&Mre,S6&Mre,S6&Ku&Mre,0,S6&Mre,0,S6&Mre,S6&Ku,0,0,0,Ku,0,0,0,1.077124421,0.713797476,1.478717401,13,0.002412525,0.797602736,4.8694E-05,0.002412525,0.002412525,0.487179487,14,0.007866545,0.480705331,2,Peripheral,12,-0.143926044,0.449673366,1,Peripheral,0,0,0,0,0,14,-0.356795111,0,8,Ultra peripheral,0,0,0,0,0,11,-0.056204919,0.392206214,1,Peripheral,14,-0.207202317,0.117990827,3,Peripheral,Sirt6
RBFOX2,0,nucleoplasm ,"negative regulation of transcription, DNA-templated ",transcription corepressor activity ,O43251,9606.ENSP00000413035,RNA binding protein fox-1 homolog 2; RNA-binding protein that regulates alternative splicing events by binding to 5'-UGCAUGU-3' elements. Prevents binding of U2AF2 to the 3'-splice site. Regulates alternative splicing of tissue-specific exons and of differentially spliced exons during erythropoiesis (By similarity). RNA-binding protein that seems to act as a coregulatory factor of ER-alpha,0,0,0,1,0,0,0,0,0,0,2.903666667,0,0,0,Transcription Regulation,slateblue1,9,1,Sirt6,S6&Ku&Mre,0,0,0,S6&Mre,0,0,0,S6,Mre,0,0,0,0,0,0.86712755,0.488138445,0.190305856,8,0.000295464,0.701128366,2.0249E-05,0.000295464,0.000295464,0.357142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-0.828158491,0,8,Ultra peripheral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sirt6
NUP88,0,nuclear pore ,nucleocytoplasmic transport ,structural constituent of nuclear pore ,Q99567,9606.ENSP00000458954,Nuclear pore complex protein Nup88; Essential component of nuclear pore complex; Nucleoporins,1,0,0,1,0,0,0,2.188666667,0,0,2.9,0,0,0,Nuclear Pore,deepskyblue3,4,1,Sirt6,S6&Mre,S6,0,0,S6,0,0,0,S6,0,0,0,0,0,0,0.727259911,1.168904059,1.070660124,25,0.00065808,0.628376095,0.000770909,0.00065808,0.00065808,0.726666667,9,-0.033017185,0.308676116,3,Peripheral,0,0,0,0,0,0,0,0,0,0,17,0.298706981,0.167822004,6,Peripheral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sirt6
THOC6,SSB,THO complex ,"mRNA splicing, via spliceosome ",RNA binding ,Q86W42,9606.ENSP00000326531,"THO complex subunit 6 homolog; Acts as component of the THO subcomplex of the TREX complex which is thought to couple mRNA transcription, processing and nuclear export, and which specifically associates with spliced mRNA and not with unspliced pre-mRNA. TREX is recruited to spliced mRNAs by a transcription-independent mechanism, binds to mRNA upstream of the exon-junction complex (EJC) and is recruited in a splicing- and cap-dependent manner to a region near the 5' end of the mRNA where it functions in mRNA export to the cytoplasm via the TAP/NFX1 pathway. The TREX complex is essential [...] ",0,0,0,1,0,0,1,0,0,0,2.621333333,0,0,1.858666667,Nuclear Pore,deepskyblue3,4,1,Sirt6,S6&Ku&Mre,0,0,0,S6,0,0,S6,S6,Ku,0,Ku,PC5,0,0,0.027716432,0.230083074,0.40203389,5,0.002720051,0.602286502,0.000144636,0.002720051,0.002720051,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-0.725302078,0,5,Ultra peripheral,0,0,0,0,0,0,0,0,0,0,3,-0.655007426,0.410254804,5,Peripheral,Sirt6
RAC1,0,NADPH oxidase complex ,positive regulation of DNA replication ,histone deacetylase binding ,P63000,9606.ENSP00000348461,"Ras-related C3 botulinum toxin substrate 1; Plasma membrane-associated small GTPase which cycles between active GTP-bound and inactive GDP-bound states. In its active state, binds to a variety of effector proteins to regulate cellular responses such as secretory processes, phagocytosis of apoptotic cells, epithelial cell polarization and growth-factor induced formation of membrane ruffles. Rac1 p21/rho GDI heterodimer is the active component of the cytosolic factor sigma 1, which is involved in stimulation of the NADPH oxidase activity in macrophages. Essential for the SPATA13-mediated [...] ",0,0,0,1,0,0,0,0,0,0,2.516,0,0,0,Cell Cycle regulation,coral1,1,1,Sirt6,S6&Mre,0,0,0,S6,0,0,0,S6,Mre,0,0,0,0,0,0.596971141,0.854303984,0.966831064,4,2.95736E-06,0.538781751,0.004122119,2.95736E-06,2.95736E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.4064545,0,2,Ultra peripheral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sirt6
SYNCRIP,MMR,CRD-mediated mRNA stability complex ,"mRNA splicing, via spliceosome ",mRNA binding ,O60506,9606.ENSP00000358635,"Heterogeneous nuclear ribonucleoprotein Q; Heterogenous nuclear ribonucleoprotein (hnRNP) implicated in mRNA processing mechanisms. Component of the CRD- mediated complex that promotes MYC mRNA stability. Isoform 1, isoform 2 and isoform 3 are associated in vitro with pre-mRNA, splicing intermediates and mature mRNA protein complexes. Isoform 1 binds to apoB mRNA AU-rich sequences. Isoform 1 is part of the APOB mRNA editosome complex and may modulate the postranscriptional C to U RNA-editing of the APOB mRNA through either by binding to A1CF (APOBEC1 complementation factor), to APOBEC1 [...] ",0,0,0,1,0,0,1,0,0,0,2.357666667,0,0,2.374333333,RNA Metabolism,gold,8,0,Sirt6,S6&Ku&Mre,0,0,0,S6,0,0,S6,0,Mre,0,0,0,0,0,0.183980098,0.009084724,0.250680418,15,0.00311563,0.805600499,0.002204008,0.00311563,0.00311563,0.266666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0.178334351,0.223478977,8,Peripheral,0,0,0,0,0,0,0,0,0,0,23,0.484897682,0.23018056,3,Peripheral,Sirt6
MRPL2,0,nucleoplasm ,ribosome biogenesis ,structural constituent of ribosome ,Q5T653,9606.ENSP00000373404,"39S ribosomal protein L2, mitochondrial; Mitochondrial ribosomal protein L2; Belongs to the universal ribosomal protein uL2 family",0,0,0,1,0,0,0,0,0,0,2.291666667,0,0,0,Ribosome Biosynthesis,lightgreen,7,1,Sirt6,S6&Ku,0,0,0,S6,0,0,0,S6,0,0,0,0,0,0,0.108374461,1.049051197,0.947765037,44,0.206548781,0.768344218,0.003774284,0.206548781,0.206548781,0.707188161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,-1.489298462,0.052140208,3,Peripheral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sirt6
LMO7,NER,ubiquitin ligase complex ,positive regulation of transcription from RNA polymerase II promoter ,ubiquitin-protein transferase activity ,Q8WWI1,9606.ENSP00000366757,LIM domain only protein 7; LIM domain containing,0,1,1,1,0,0,0,0,1.765333333,2.031,2.225666667,0,0,0,Transcription Regulation,slateblue1,9,0,Sirt6,S6&Ku&Mre,0,S6,S6,S6,0,0,0,0,Ku&Mre,0,0,0,0,0,0.186861446,0.965151474,0.638525672,1,0,0.936037441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sirt6
MEN1,0,MLL1 complex ,histone H3-K4 methylation ,chromatin binding ,O00255,9606.ENSP00000337088,"Menin; Essential component of a MLL/SET1 histone methyltransferase (HMT) complex, a complex that specifically methylates 'Lys-4' of histone H3 (H3K4). Functions as a transcriptional regulator. Binds to the TERT promoter and represses telomerase expression. Plays a role in TGFB1-mediated inhibition of cell-proliferation, possibly regulating SMAD3 transcriptional activity. Represses JUND-mediated transcriptional activation on AP1 sites, as well as that mediated by NFKB subunit RELA. Positively regulates HOXC8 and HOXC6 gene expression. May be involved in normal hematopoiesis through the  [...] ",0,1,0,1,0,0,0,0,2.301333333,0,2.203666667,0,0,0,DNA Repair,firebrick1,3,0,Sirt6,S6,0,S6,0,S6,0,0,0,0,0,0,0,0,0,0,0.570642369,1.119430374,0.602400778,5,0.000508648,0.692630642,0.000281558,0.000508648,0.000508648,0.2,0,0,0,0,0,4,-0.460714652,0,6,Ultra peripheral,0,0,0,0,0,4,-0.579044508,0.347904801,5,Peripheral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sirt6
SRSF6,0,nuclear speck ,"mRNA splicing, via spliceosome ",mRNA binding ,Q13247,9606.ENSP00000244020,"Splicing factor, arginine/serine-rich 4/5/6; Serine/arginine-rich splicing factor 6; Plays a role in constitutive splicing and modulates the selection of alternative splice sites. Plays a role in the alternative splicing of MAPT/Tau exon 10. Binds to alternative exons of TNC pre-mRNA and promotes the expression of alternatively spliced TNC. Plays a role in wound healing and in the regulation of keratinocyte differentiation and proliferation via its role in alternative splicing; Belongs to the splicing factor SR family",1,0,0,1,0,0,0,1.848333333,0,0,2.150333333,0,0,0,RNA Metabolism,gold,8,1,Sirt6,S6,S6,0,0,S6,0,0,0,S6,0,0,0,0,0,0,0.512725559,1.143033377,0.602400778,4,0.003097413,0.570488836,0,0.003097413,0.003097413,0.666666667,4,-1.119448923,0,4,Ultra peripheral,0,0,0,0,0,0,0,0,0,0,6,-0.799000255,0,8,Ultra peripheral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sirt6
NUP210,0,nuclear pore ,nucleocytoplasmic transport ,structural constituent of nuclear pore ,Q8TEM1,9606.ENSP00000254508,"Nuclear pore membrane glycoprotein 210; Nucleoporin essential for nuclear pore assembly and fusion, nuclear pore spacing, as well as structural integrity; Nucleoporins",0,0,0,1,0,1,0,0,0,0,2.121333333,0,2.238,0,Nuclear Pore,deepskyblue3,4,0,Sirt6,S6&Ku&Mre,0,0,0,S6,0,S6,0,0,Ku&Mre,0,0,0,0,0,0.440303209,0.217913157,0.542371292,23,7.73187E-05,0.629906851,0.000248773,7.73187E-05,7.73187E-05,0.849802372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0.262945593,0.181980134,6,Peripheral,0,0,0,0,0,11,0.344561315,0.262257845,7,Peripheral,0,0,0,0,0,Sirt6
AATF,DSB,transcription regulator complex ,histone deacetylation ,protein kinase binding ,Q9NY61,9606.ENSP00000477848,"Apoptosis antagonizing transcription factor; Protein AATF; May function as a general inhibitor of the histone deacetylase HDAC1. Binding to the pocket region of RB1 may displace HDAC1 from RB1/E2F complexes, leading to activation of E2F target genes and cell cycle progression. Conversely, displacement of HDAC1 from SP1 bound to the CDKN1A promoter leads to increased expression of this CDK inhibitor and blocks cell cycle progression. Also antagonizes PAWR mediated induction of aberrant amyloid peptide production in Alzheimer disease (presenile and senile dementia), although the molecula [...] ",0,0,0,1,0,0,0,0,0,0,2.081666667,0,0,0,DNA Repair,firebrick1,3,1,Sirt6,S6&Mre,0,0,0,S6&Mre,0,0,0,S6,0,0,0,0,0,0,1.162833494,0.837782243,1.259132647,50,0.394440645,0.673681358,5.49616E-05,0.394440645,0.394440645,0.824489796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0.370210505,0.523615615,1,Peripheral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sirt6
AHCTF1,0,nuclear pore ,nucleocytoplasmic transport ,DNA binding ,Q8WYP5,9606.ENSP00000355465,At-hook containing transcription factor 1; Protein ELYS; Required for the assembly of a functional nuclear pore complex (NPC) on the surface of chromosomes as nuclei form at the end of mitosis. May initiate NPC assembly by binding to chromatin and recruiting the Nup107-160 subcomplex of the NPC. Also required for the localization of the Nup107-160 subcomplex of the NPC to the kinetochore during mitosis and for the completion of cytokinesis; Nucleoporins,0,0,0,1,0,0,0,0,0,0,2.074333333,0,0,0,Cell Cycle regulation,coral1,1,1,Sirt6,S6&Mre,0,0,0,S6,0,0,0,S6,Mre,0,0,0,0,0,0.746618069,0.837356812,0.855152725,21,8.16873E-05,0.543600809,0,8.16873E-05,8.16873E-05,0.919047619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0.213038086,0,6,Ultra peripheral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sirt6
HIST1H1C,DSB,nucleosome ,chromatin organization ,structural constituent of chromatin ,P16403,9606.ENSP00000339566,"Histone cluster 1 h1 family member c; Histone H1.2; Histone H1 protein binds to linker DNA between nucleosomes forming the macromolecular structure known as the chromatin fiber. Histones H1 are necessary for the condensation of nucleosome chains into higher-order structured fibers. Acts also as a regulator of individual gene transcription through chromatin remodeling, nucleosome spacing and DNA methylation (By similarity)",0,0,1,1,0,0,1,0,0,2.550666667,1.943666667,0,0,2.481,Chromatin Organization,darkviolet,2,0,Sirt6,S6&Ku,0,0,S6&Ku,S6,0,0,S6,0,0,0,0,0,0,0,0.791387382,0.78792309,1.234658776,8,0.005396187,0.79994101,0.000983523,0.005396187,0.005396187,0.392857143,0,0,0,0,0,0,0,0,0,0,7,-0.431652134,0.596322102,7,Peripheral,5,-1.005692255,0.451983041,8,Peripheral,0,0,0,0,0,0,0,0,0,0,8,-0.461681837,0.498176439,5,Peripheral,Sirt6
PSMC4,ForkStall,proteasome complex ,proteasomal protein catabolic process ,proteasome-activating ATPase activity ,P43686,9606.ENSP00000157812,"26S proteasome regulatory subunit 6B; Component of the 26S proteasome, a multiprotein complex involved in the ATP-dependent degradation of ubiquitinated proteins. This complex plays a key role in the maintenance of protein homeostasis by removing misfolded or damaged proteins, which could impair cellular functions, and by removing proteins whose functions are no longer required. Therefore, the proteasome participates in numerous cellular processes, including cell cycle progression, apoptosis, or DNA damage repair. PSMC4 belongs to the heterohexameric ring of AAA (ATPases associated wit [...] ",0,0,0,1,0,0,0,0,0,0,1.918666667,0,0,0,Proteasome,grey,6,1,Sirt6,S6&Ku,0,0,0,S6&Ku,0,0,0,S6&Ku,0,0,0,0,0,0,0.003105182,0.665635323,0.713205828,22,0.017696835,0.68039558,0.000464281,0.017696835,0.017696835,0.861471861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.232383683,0.08638711,4,Peripheral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sirt6
NSUN5,NER,nucleolus ,RNA methylation ,RNA binding ,Q96P11,9606.ENSP00000309126,Probable 28S rRNA (cytosine-C(5))-methyltransferase; S-adenosyl-L-methionine-dependent methyltransferase that specifically methylates the C(5) position of cytosine 3782 in 28S rRNA,0,0,1,1,0,1,0,0,0,4.070666667,1.815333333,0,4.169,0,Chromatin Organization,darkviolet,2,0,Sirt6,S6&Ku&Mre,0,0,S6&Ku&Mre,S6&Ku,0,S6&Mre,0,0,0,Mre,0,0,0,0,0.651100854,0.323694568,0.63232399,0,3.23084E-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sirt6
DNM2,NER,centrosome ,"transcription, DNA-templated ",protein kinase binding ,P50570,9606.ENSP00000373905,"Dynamin-2; Microtubule-associated force-producing protein involved in producing microtubule bundles and able to bind and hydrolyze GTP. Plays a role in the regulation of neuron morphology, axon growth and formation of neuronal growth cones (By similarity). Plays an important role in vesicular trafficking processes, in particular endocytosis. Involved in cytokinesis. Regulates maturation of apoptotic cell corpse-containing phagosomes by recruiting PIK3C3 to the phagosome membrane (By similarity); Pleckstrin homology domain containing",1,1,1,1,0,0,0,2.051,1.759,2.991666667,1.813666667,0,0,0,Cell Cycle regulation,coral1,1,0,Sirt6,S6,S6,S6,S6,S6,0,0,0,0,0,0,0,PC6,0,0,1.058296256,1.552906665,0.602400778,0,3.23084E-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sirt6
EXOSC9,DSB,exosome (RNase complex) ,rRNA processing ,3'-5'-exoribonuclease activity ,Q06265,9606.ENSP00000368984,"Exosome complex component RRP45; Non-catalytic component of the RNA exosome complex which has 3'->5' exoribonuclease activity and participates in a multitude of cellular RNA processing and degradation events. In the nucleus, the RNA exosome complex is involved in proper maturation of stable RNA species such as rRNA, snRNA and snoRNA, in the elimination of RNA processing by-products and non-coding 'pervasive' transcripts, such as antisense RNA species and promoter-upstream transcripts (PROMPTs), and of mRNAs with processing defects, thereby limiting or excluding their export to the cyto [...] ",0,0,0,1,0,1,1,0,0,0,1.751,0,2.555333333,2.406666667,Transcription Regulation,slateblue1,9,5,Sirt6,S6&Ku,0,0,0,S6,0,S6,S6,0,0,0,0,0,0,0,0.716157068,0.285112049,1.146470201,11,0.015596969,0.645786827,0.000277701,0.015596969,0.015596969,0.545454545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.200289134,0.076088941,1,Peripheral,0,0,0,0,0,10,-1.087239789,0.266378252,3,Peripheral,13,0.214520715,0.17699788,7,Peripheral,Sirt6
RFC2,HR,DNA replication factor C complex ,DNA duplex unwinding ,single-stranded DNA-dependent ATP-dependent DNA helicase activity ,P35250,9606.ENSP00000055077,Replication factor C subunit 2; The elongation of primed DNA templates by DNA polymerase delta and epsilon requires the action of the accessory proteins proliferating cell nuclear antigen (PCNA) and activator 1. This subunit binds ATP (By similarity),0,0,0,1,0,0,0,0,0,0,1.709,0,0,0,DNA Repair,firebrick1,3,1,Sirt6,S6&Mre,0,0,0,S6,0,0,0,S6,0,0,Ku,0,Mre11,S6vsMre&MrevsKu,1.573119825,0.806065658,1.605505997,6,0.000844583,0.718684286,2.55523E-05,0.000844583,0.000844583,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1.131902686,0,5,Ultra peripheral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sirt6
WDR12,DSB,PeBoW complex ,"maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) ",ribonucleoprotein complex binding ,Q9GZL7,9606.ENSP00000261015,"Ribosome biogenesis protein WDR12; Component of the PeBoW complex, which is required for maturation of 28S and 5.8S ribosomal RNAs and formation of the 60S ribosome; WD repeat domain containing",0,0,0,1,0,0,0,0,0,0,1.686666667,0,0,0,Cell Cycle regulation,coral1,1,1,Sirt6,S6&Mre,0,0,0,S6,0,0,0,S6,0,0,0,PC4,0,0,0.67943282,0.803334274,0.805984691,42,0.194405009,0.750485562,0.002592231,0.194405009,0.194405009,0.808362369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,-0.208095652,0.498263815,1,Peripheral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sirt6
PSMA7,HR,proteasome complex ,proteasomal protein catabolic process ,proteasome-activating ATPase activity ,O14818,9606.ENSP00000359910,"Proteasome subunit alpha type-7; Component of the 20S core proteasome complex involved in the proteolytic degradation of most intracellular proteins. This complex plays numerous essential roles within the cell by associating with different regulatory particles. Associated with two 19S regulatory particles, forms the 26S proteasome and thus participates in the ATP-dependent degradation of ubiquitinated proteins. The 26S proteasome plays a key role in the maintenance of protein homeostasis by removing misfolded or damaged proteins that could impair cellular functions, and by removing pro [...] ",0,0,0,1,0,1,0,0,0,0,1.683666667,0,1.708666667,0,Proteasome,grey,6,0,Sirt6,S6&Ku,0,0,0,S6&Ku,0,S6,0,Ku,0,0,0,0,0,0,0.352671925,0.841132903,0.978995836,20,0.017246372,0.533943441,0,0.017246372,0.017246372,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.344781213,0,4,Ultra peripheral,0,0,0,0,0,7,0.976311051,0,4,Ultra peripheral,0,0,0,0,0,Sirt6
PUS7,0,nucleus ,RNA splicing ,RNA binding ,Q96PZ0,9606.ENSP00000348722,"Pseudouridylate synthase 7 homolog; Pseudouridylate synthase that catalyzes pseudouridylation of RNAs . Acts as a regulator of protein synthesis in embryonic stem cells by mediating pseudouridylation of RNA fragments derived from tRNAs (tRFs): pseudouridylated tRFs inhibit translation by targeting the translation initiation complex . Also catalyzes pseudouridylation of mRNAs: mediates pseudouridylation of mRNAs with the consensus sequence 5'-UGUAG-3' . In addition to mRNAs and tRNAs, binds other types of RNAs, such as snRNAs, Y RNAs and vault RNAs, suggesting that it can catalyze pseud [...] ",0,0,0,1,0,0,0,0,0,0,1.627333333,0,0,0,DNA Repair,firebrick1,3,1,Sirt6,S6&Ku,0,0,0,S6&Ku,0,0,0,S6&Ku,0,0,0,0,0,0,0.101203763,0.057406411,0.103694155,0,3.23084E-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sirt6
CCT5,0,chaperonin-containing T-complex ,positive regulation of telomere maintenance via telomerase ,mRNA binding ,P48643,9606.ENSP00000280326,"T-complex protein 1 subunit epsilon; Molecular chaperone; assists the folding of proteins upon ATP hydrolysis. As part of the BBS/CCT complex may play a role in the assembly of BBSome, a complex involved in ciliogenesis regulating transports vesicles to the cilia. Known to play a role, in vitro, in the folding of actin and tubulin; Chaperonins",0,0,0,1,0,0,0,0,0,0,1.587666667,0,0,0,Ribosome Biosynthesis,lightgreen,7,1,Sirt6,S6&Ku,0,0,0,S6&Ku,0,0,0,S6&Ku,0,0,0,0,0,0,0.117053284,1.027433464,0.955535826,15,0.004473199,0.678788155,0.005402145,0.004473199,0.004473199,0.314285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.284126143,0,5,Ultra peripheral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sirt6
NDUFA13,0,nucleoplasm ,"transcription, DNA-templated ",NAD binding ,Q9P0J0,9606.ENSP00000423673,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13; Accessory subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I), that is believed not to be involved in catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone. Involved in the interferon/all-trans-retinoic acid (IFN/RA) induced cell death. This apoptotic activity is inhibited by interaction with viral IRF1. Prevents the transactivation of STAT3 target genes. May play a role in [...] ",0,0,0,1,0,0,0,0,0,0,1.567666667,0,0,0,Transcription Regulation,slateblue1,9,1,Sirt6,S6&Ku,0,0,0,S6,0,0,0,S6,Ku,0,0,0,0,0,0.125196271,0.984109956,0.613548997,4,5.51671E-05,0.509771087,0.004347751,5.51671E-05,5.51671E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sirt6
THOC2,0,transcription export complex ,RNA processing ,mRNA binding ,Q8NI27,9606.ENSP00000245838,"THO complex subunit 2; Required for efficient export of polyadenylated RNA and spliced mRNA. Acts as component of the THO subcomplex of the TREX complex which is thought to couple mRNA transcription, processing and nuclear export, and which specifically associates with spliced mRNA and not with unspliced pre-mRNA. TREX is recruited to spliced mRNAs by a transcription-independent mechanism, binds to mRNA upstream of the exon-junction complex (EJC) and is recruited in a splicing- and cap-dependent manner to a region near the 5' end of the mRNA where it functions in mRNA export to the cyt [...] ",0,0,0,1,0,0,0,0,0,0,1.564666667,0,0,0,Nuclear Pore,deepskyblue3,4,1,Sirt6,S6,0,0,0,S6,0,0,0,S6,0,0,0,0,0,0,0.126426466,0.786171948,0.602400778,5,0.000361845,0.645189195,0.000121494,0.000361845,0.000361845,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-0.646354934,0.682392847,5,Connector,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sirt6
CPSF3,0,nucleoplasm ,mRNA polyadenylation ,5'-3' exonuclease activity ,Q9UKF6,9606.ENSP00000238112,"Cleavage and polyadenylation specificity factor subunit 3; Component of the cleavage and polyadenylation specificity factor (CPSF) complex that play a key role in pre-mRNA 3'-end formation, recognizing the AAUAAA signal sequence and interacting with poly(A) polymerase and other factors to bring about cleavage and poly(A) addition. Has endonuclease activity, and functions as mRNA 3'-end-processing endonuclease. Also involved in the histone 3'-end pre-mRNA processing. U7 snRNP- dependent protein that induces both the 3'-endoribonucleolytic cleavage of histone pre-mRNAs and acts as a 5' t [...] ",0,0,0,1,0,0,0,0,0,0,1.559666667,0,0,0,DNA Repair,firebrick1,3,1,Sirt6,S6,0,0,0,S6,0,0,0,S6,0,0,0,0,0,0,0.128481856,0.78538032,0.602400778,9,0.000868114,0.561152274,0.00048453,0.000868114,0.000868114,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.002791379,0.334441372,5,Peripheral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sirt6
ZBTB33,0,chromatin ,"transcription, DNA-templated ",transcription corepressor activity ,Q86T24,9606.ENSP00000314153,Zinc finger and btb domain-containing protein 33; Transcriptional regulator Kaiso; Transcriptional regulator with bimodal DNA-binding specificity. Binds to methylated CpG dinucleotides in the consensus sequence 5'-CGCG-3' and also binds to the non-methylated consensus sequence 5'-CTGCNA-3' also known as the consensus kaiso binding site (KBS). Recruits the N-CoR repressor complex to promote histone deacetylation and the formation of repressive chromatin structures in target gene promoters. May contribute to the repression of target genes of the Wnt signaling pathway. May also activate t [...] ,1,0,1,1,0,0,0,1.615666667,0,2.856666667,1.514,0,0,0,Transcription Regulation,slateblue1,9,0,Sirt6,S6,S6,0,S6,S6,0,0,0,0,0,0,0,PC6,0,0,0.73335446,1.204686176,0.602400778,2,7.37318E-06,0.540499328,1.73563E-05,7.37318E-06,7.37318E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1.032191987,0,5,Ultra peripheral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sirt6
